name	female_count	male_count
abubakary	0	10
abubaker	0	24
abubakr	0	320
abuk	41	0
abukar	0	28
abundio	0	203
aby	202	56
abyade	10	0
abyan	28	106
abygael	43	0
abygail	2491	0
abygaile	13	0
abygale	332	0
abygayle	142	0
abyssinia	18	0
ac	0	119
acacia	3638	0
acacius	0	6
acadia	755	0
acamas	0	6
acari	0	19
acasia	120	0
accacia	26	0
accalia	76	0
access	0	6
accie	0	5
accursio	0	5
ace	23	8306
acea	5	72
acein	0	5
aceion	0	5
acel	0	68
acelee	5	0
acelin	19	106
acelino	0	7
acelyn	368	11
acelynn	618	0
acen	0	297
acencion	0	27
aceon	0	27
acer	0	30
aceson	0	169
aceston	0	6
acesyn	0	23
aceton	0	57
acey	22	409
aceyn	0	66
achai	0	6
achaia	62	0
achaius	0	5
achan	5	0
achante	35	0
achanti	5	0
achary	0	32
achazia	6	0
achel	39	0
acheron	0	49
achille	0	352
achilles	0	2084
achilleus	0	5
achillies	0	81
achintya	0	35
achol	55	0
achraf	0	10
achsa	12	0
achsah	75	0
achyut	0	58
achyuth	0	29
acia	6	0
aciano	0	5
acie	50	2031
aciel	0	7
acil	0	12
acire	71	0
ackeem	0	32
ackley	0	22
acob	0	5
acquanetta	254	0
acquanette	13	0
acsa	83	0
acura	26	0
acxel	0	210
acy	5	274
ad	0	73
ada	93464	277
adabel	26	0
adabella	140	0
adabelle	313	0
adacia	5	0
adae	0	5
adael	0	210
adaela	5	0
adaelyn	6	0
adaeze	396	0
adagio	0	14
adah	3236	0
adahir	0	56
adahli	23	0
adahlia	100	0
adahy	0	6
adai	17	0
adaia	91	0
adaiah	222	39
adaija	34	0
adaijah	82	0
adailyn	8	0
adain	0	305
adair	1231	1401
adaira	153	0
adaire	45	0
adairis	5	0
adaisha	119	0
adaisia	7	0
adaja	100	0
adajah	77	0
adaku	7	0
adal	0	321
adala	5	0
adalade	5	0
adalae	165	0
adalai	84	0
adalaide	216	0
adalay	123	0
adalaya	62	0
adalayde	7	0
adalbert	0	94
adalberto	0	4407
adale	10	0
adalea	56	0
adaleah	78	0
adalee	1828	0
adaleen	72	0
adaleena	68	0
adalei	122	0
adaleia	11	0
adaleigh	816	0
adaleine	12	0
adalen	39	0
adalena	339	0
adalene	533	0
adaley	177	0
adaleya	17	0
adaleyza	23	0
adalhi	5	0
adali	408	24
adalia	1554	0
adaliah	113	0
adalicia	22	0
adalid	11	99
adalida	77	0
adalie	1194	0
adaliene	12	0
adalin	283	0
adalina	1009	0
adalind	298	0
adalinda	10	0
adaline	6478	0
adalinn	35	0
adalinne	5	0
adalis	183	0
adalisa	6	0
adalise	49	0
adalisse	5	0
adalius	0	9
adaliyah	20	0
adaliz	275	0
adalize	6	0
adallyn	29	0
adaly	503	0
adalya	10	0
adalye	10	0
adalyn	15367	0
adalyna	67	0
adalynd	45	0
adalyne	411	0
adalynn	13856	0
adalynne	617	0
adalys	30	0
adalyse	6	0
adam	2024	544822
adama	466	316
adamae	103	0
adamari	1774	0
adamarie	132	0
adamaris	2841	0
adamariz	217	0
adamary	608	0
adamarys	206	0
adamina	20	0
adamjames	0	5
adamm	0	6
adamma	5	0
adammichael	0	6
adamo	0	11
adams	0	1015
adan	103	25482
adana	202	0
adaneli	11	0
adanelly	28	0
adanely	88	0
adanna	481	0
adannaya	20	0
adante	0	165
adanya	159	0
adaobi	41	0
adaora	182	0
adar	34	61
adara	1683	0
adarah	26	0
adari	0	5
adaria	105	0
adarian	0	211
adarien	0	20
adarion	0	38
adarious	0	29
adarius	0	1190
adarrion	0	5
adarrius	0	97
adarryl	0	58
adarryll	0	29
adarsh	0	526
adaryl	0	10
adaryll	0	43
adasha	94	0
adashia	20	0
adasia	229	0
adason	5	5
adassa	29	0
adasyn	171	0
adasynn	5	0
adau	6	0
adaugo	50	0
adaure	5	0
adavia	5	0
adavion	0	16
adaya	645	0
adayah	148	0
adayla	35	0
adaysha	61	0
adayshia	19	0
adaysia	22	0
adbeel	0	5
adbiel	0	16
add	0	102
adda	937	0
addah	5	0
addai	0	22
addalee	149	0
addaleigh	67	0
addaley	34	0
addalie	100	0
addalin	14	0
addalina	5	0
addaline	115	0
addallee	5	0
addaly	5	0
addalyn	1655	0
addalyne	58	0
addalynn	1088	0
addalynne	75	0
addam	0	720
addan	0	21
addasyn	112	0
addelaide	5	0
addelin	22	0
addelina	18	0
addeline	295	0
addell	16	0
addelyn	1540	0
addelyne	12	0
addelynn	495	0
addelynne	32	0
adden	0	108
adderly	0	11
addeson	10	0
addesyn	18	0
addey	11	0
addi	341	0
addia	6	0
addicus	0	25
addicyn	33	0
addie	43698	718
addiel	0	69
addielynn	23	0
addiemae	5	0
addieson	5	0
addilee	142	0
addileigh	32	0
addiley	30	0
addiline	18	0
addilyn	4605	5
addilyne	46	0
addilynn	2044	0
addilynne	78	0
addine	22	0
addington	5	8
addis	152	381
addisan	16	0
addisen	1075	6
addisin	30	0
addison	110535	12623
addisson	91	0
addiston	5	0
addisun	16	0
addisyn	7672	0
addisynn	159	0
addix	0	5
addle	5	0
addlee	12	0
addley	129	0
addlie	6	0
addlyn	15	0
addlynn	15	0
addonis	0	5
addriana	5	0
addrianna	16	0
addrienne	15	0
addsion	5	0
addy	1117	22
addylan	10	0
addylen	6	0
addylin	68	0
addyline	17	0
addylyn	35	0
addylynn	53	0
addysan	47	0
addysen	1005	0
addysin	112	0
addysn	6	0
addyson	14093	33
addysun	13	0
addysyn	113	0
ade	11	269
adea	100	0
adean	93	23
adeana	187	0
adeanna	5	0
adebayo	0	118
adebisi	10	0
adebola	40	10
adebowale	0	19
adecyn	10	0
adedamola	0	117
adedayo	0	50
adedeji	0	48
adedotun	0	5
adedoyin	12	5
adee	6	0
adeeb	0	229
adeeba	21	0
adeel	0	300
adeem	0	5
adeen	0	5
adeena	350	0
adefolarin	0	7
adein	0	42
adeja	123	0
adejah	30	0
adekemi	5	0
adekunle	0	61
adel	1300	1193
adela	12270	0
adelade	47	0
adelae	148	0
adelah	5	0
adelai	167	0
adelaid	5	0
adelaida	2618	0
adelaide	24849	0
adelaido	0	221
adelaina	11	0
adelaine	342	0
adelais	16	0
adelane	5	0
adelard	0	488
adelay	37	0
adelaya	10	0
adelayda	25	0
adelayde	51	0
adelayne	6	0
adelbert	0	2373
adele	39255	11
adelea	6	0
adelean	5	0
adelee	73	0
adeleen	5	0
adelei	93	0
adeleigh	111	0
adeleine	237	0
adeleke	0	5
adelen	7	0
adelena	230	0
adelene	1099	0
